spec_class,spec_num,temp,ci,seq,absmag
M,8,2680,2.0208,III,
M,9,2545,2.1034,III,
O,1,,,IIIa,
O,2,50100,-0.3904,IIIa,
O,3,44850,-0.3815,IIIa,
O,4,42860,-0.3774,IIIa,
O,5,40860,-0.3728,IIIa,
O,6,38870,-0.3677,IIIa,
O,7,36870,-0.3619,IIIa,
O,8,34880,-0.3554,IIIa,
O,9,32880,-0.3481,IIIa,
B,0,29000,-0.331,IIIa,
B,1,24500,-0.3049,IIIa,
B,2,19500,-0.2636,IIIa,
B,3,16500,-0.2291,IIIa,
B,4,15700,-0.2181,IIIa,
B,5,15000,-0.2078,IIIa,
B,6,13800,-0.1882,IIIa,
B,7,13000,-0.1736,IIIa,
B,8,11500,-0.1422,IIIa,
B,9,10700,-0.1228,IIIa,
A,0,9800,-0.0983,IIIa,
A,1,9500,-0.0893,IIIa,
A,2,8900,0.1004,IIIa,
A,3,8520,0.1703,IIIa,
A,4,8335,0.2054,IIIa,
A,5,8150,0.2413,IIIa,
A,6,7990,0.273,IIIa,
A,7,7830,0.3054,IIIa,
A,8,7605,0.352,IIIa,
A,9,7380,0.4001,IIIa,
F,0,7250,0.4285,IIIa,
F,1,7120,0.4575,IIIa,
F,2,7000,0.4847,IIIa,
F,3,6750,0.5428,IIIa,
F,4,6650,0.5667,IIIa,
F,5,6550,0.591,IIIa,
F,6,6400,0.628,IIIa,
F,7,6250,0.666,IIIa,
F,8,6170,0.6866,IIIa,
F,9,6010,0.7286,IIIa,
G,0,5900,0.7582,IIIa,
G,1,5800,0.7855,IIIa,
G,2,5750,0.7994,IIIa,
G,3,5710,0.8106,IIIa,
G,4,5690,0.8162,IIIa,
G,5,5620,0.836,IIIa,
G,6,5570,0.8503,IIIa,
G,7,5500,0.8705,IIIa,
G,8,5450,0.8851,IIIa,-0.4
G,9,5350,0.9147,IIIa,-0.4
K,0,5280,0.9358,IIIa,-0.5
K,1,5110,0.9882,IIIa,-0.6
K,2,4940,1.0423,IIIa,-0.7
K,3,4700,1.122,IIIa,-0.8
K,4,4550,1.1739,IIIa,-1
K,5,4400,1.2275,IIIa,-1.1
K,6,4265,1.2774,IIIa,-1.15
K,7,4130,1.3288,IIIa,-1.2
K,8,3995,1.382,IIIa,-1.23
K,9,3860,1.437,IIIa,-1.26
M,0,3760,1.479,IIIa,-1.3
M,1,3625,1.5375,IIIa,-1.5
M,2,3490,1.5982,IIIa,-1.7
M,3,3355,1.6613,IIIa,-1.9
M,4,3220,1.7271,IIIa,-2.2
M,5,3085,1.7956,IIIa,
M,6,2950,1.8672,IIIa,
M,7,2815,1.9421,IIIa,
M,8,2680,2.0208,IIIa,
M,9,2545,2.1034,IIIa,
O,1,,,II,
O,2,50100,-0.3904,II,
O,3,44850,-0.3815,II,
O,4,42860,-0.3774,II,
O,5,40860,-0.3728,II,
O,6,38870,-0.3677,II,
O,7,36870,-0.3619,II,-5.9
O,8,34880,-0.3554,II,-5.9
O,9,32880,-0.3481,II,-5.9
B,0,29000,-0.331,II,-5.6
B,1,24500,-0.3049,II,-5.1
B,2,19500,-0.2636,II,-4.4
B,3,16500,-0.2291,II,-3.9
B,4,15700,-0.2181,II,-3.9
B,5,15000,-0.2078,II,-3.7
B,6,13800,-0.1882,II,-3.7
B,7,13000,-0.1736,II,-3.6
B,8,11500,-0.1422,II,-3.4
B,9,10700,-0.1228,II,-3.1
A,0,9800,-0.0983,II,-2.8
A,1,9500,-0.0893,II,-2.6
A,2,8900,0.1004,II,-2.4
A,3,8520,0.1703,II,-2.3
A,4,8335,0.2054,II,-2.2
A,5,8150,0.2413,II,-2.1
A,6,7990,0.273,II,-2.05
A,7,7830,0.3054,II,-2
A,8,7605,0.352,II,-2
A,9,7380,0.4001,II,-2
F,0,7250,0.4285,II,-2
F,1,7120,0.4575,II,-2
F,2,7000,0.4847,II,-2
F,3,6750,0.5428,II,-2
F,4,6650,0.5667,II,-2
F,5,6550,0.591,II,-2
F,6,6400,0.628,II,-2
F,7,6250,0.666,II,-2
F,8,6170,0.6866,II,-2
F,9,6010,0.7286,II,-2
G,0,5900,0.7582,II,-2
G,1,5800,0.7855,II,-2
G,2,5750,0.7994,II,-2
G,3,5710,0.8106,II,-1.9
G,4,5690,0.8162,II,-1.9
G,5,5620,0.836,II,-1.9
G,6,5570,0.8503,II,-1.9
G,7,5500,0.8705,II,-1.9
G,8,5450,0.8851,II,-1.9
G,9,5350,0.9147,II,-2
K,0,5280,0.9358,II,-2
K,1,5110,0.9882,II,-2.1
K,2,4940,1.0423,II,-2.1
K,3,4700,1.122,II,-2.2
K,4,4550,1.1739,II,-2.3
K,5,4400,1.2275,II,-2.5
K,6,4265,1.2774,II,-2.5
K,7,4130,1.3288,II,-2.5
K,8,3995,1.382,II,-2.53
K,9,3860,1.437,II,-2.56
M,0,3760,1.479,II,-2.6
M,1,3625,1.5375,II,-2.7
M,2,3490,1.5982,II,-2.9
M,3,3355,1.6613,II,-3
M,4,3220,1.7271,II,-3.1
M,5,3085,1.7956,II,
M,6,2950,1.8672,II,
M,7,2815,1.9421,II,
M,8,2680,2.0208,II,
M,9,2545,2.1034,II,
O,1,,,Ib,
O,2,50100,-0.3904,Ib,
O,3,44850,-0.3815,Ib,
O,4,42860,-0.3774,Ib,
O,5,40860,-0.3728,Ib,
O,6,38870,-0.3677,Ib,-6.3
O,7,36870,-0.3619,Ib,-6.3
O,8,34880,-0.3554,Ib,-6.2
O,9,32880,-0.3481,Ib,-6.2
B,0,29000,-0.331,Ib,-5.8
B,1,24500,-0.3049,Ib,-5.7
B,2,19500,-0.2636,Ib,-5.7
B,3,16500,-0.2291,Ib,-5.7
B,4,15700,-0.2181,Ib,-5.7
B,5,15000,-0.2078,Ib,-5.7
B,6,13800,-0.1882,Ib,-5.7
B,7,13000,-0.1736,Ib,-5.6
B,8,11500,-0.1422,Ib,-5.6
B,9,10700,-0.1228,Ib,-5.5
A,0,9800,-0.0983,Ib,-5.2
A,1,9500,-0.0893,Ib,-5.1
A,2,8900,0.1004,Ib,-5
A,3,8520,0.1703,Ib,-4.8
A,4,8335,0.2054,Ib,-4.8
A,5,8150,0.2413,Ib,-4.8
A,6,7990,0.273,Ib,-4.8
A,7,7830,0.3054,Ib,-4.8
A,8,7605,0.352,Ib,-4.8
A,9,7380,0.4001,Ib,-4.8
F,0,7250,0.4285,Ib,-4.7
F,1,7120,0.4575,Ib,-4.7
F,2,7000,0.4847,Ib,-4.6
F,3,6750,0.5428,Ib,-4.6
F,4,6650,0.5667,Ib,-4.6
F,5,6550,0.591,Ib,-4.4
F,6,6400,0.628,Ib,-4.4
F,7,6250,0.666,Ib,-4.4
F,8,6170,0.6866,Ib,-4.3
F,9,6010,0.7286,Ib,-4.2
G,0,5900,0.7582,Ib,-4.1
G,1,5800,0.7855,Ib,-4.1
G,2,5750,0.7994,Ib,-4
G,3,5710,0.8106,Ib,-4
G,4,5690,0.8162,Ib,-3.9
G,5,5620,0.836,Ib,-3.9
G,6,5570,0.8503,Ib,-3.8
G,7,5500,0.8705,Ib,-3.8
G,8,5450,0.8851,Ib,-3.7
G,9,5350,0.9147,Ib,-3.7
K,0,5280,0.9358,Ib,-3.6
K,1,5110,0.9882,Ib,-3.6
K,2,4940,1.0423,Ib,-3.6
K,3,4700,1.122,Ib,-3.6
K,4,4550,1.1739,Ib,-3.7
K,5,4400,1.2275,Ib,-3.8
K,6,4265,1.2774,Ib,-3.8
K,7,4130,1.3288,Ib,-3.8
K,8,3995,1.382,Ib,-3.83
K,9,3860,1.437,Ib,-3.86
M,0,3760,1.479,Ib,-3.9
M,1,3625,1.5375,Ib,-4.1
M,2,3490,1.5982,Ib,-4.2
M,3,3355,1.6613,Ib,
M,4,3220,1.7271,Ib,
M,5,3085,1.7956,Ib,
M,6,2950,1.8672,Ib,
M,7,2815,1.9421,Ib,
M,8,2680,2.0208,Ib,
M,9,2545,2.1034,Ib,
O,1,,,Ia,
O,2,50100,-0.3904,Ia,
O,3,44850,-0.3815,Ia,-6.8
O,4,42860,-0.3774,Ia,-6.8
O,5,40860,-0.3728,Ia,-7
O,6,38870,-0.3677,Ia,-7
O,7,36870,-0.3619,Ia,-7
O,8,34880,-0.3554,Ia,-7
O,9,32880,-0.3481,Ia,-7
B,0,29000,-0.331,Ia,-7
B,1,24500,-0.3049,Ia,-7
B,2,19500,-0.2636,Ia,-7
B,3,16500,-0.2291,Ia,-7
B,4,15700,-0.2181,Ia,-7
B,5,15000,-0.2078,Ia,-7
B,6,13800,-0.1882,Ia,-7
B,7,13000,-0.1736,Ia,-7.1
B,8,11500,-0.1422,Ia,-7.1
B,9,10700,-0.1228,Ia,-7.1
A,0,9800,-0.0983,Ia,-7.1
A,1,9500,-0.0893,Ia,-7.1
A,2,8900,0.1004,Ia,-7.3
A,3,8520,0.1703,Ia,-7.5
A,4,8335,0.2054,Ia,-7.6
A,5,8150,0.2413,Ia,-7.65
A,6,7990,0.273,Ia,-7.7
A,7,7830,0.3054,Ia,-7.75
A,8,7605,0.352,Ia,-8
A,9,7380,0.4001,Ia,-8.15
F,0,7250,0.4285,Ia,-8.3
F,1,7120,0.4575,Ia,-8.5
F,2,7000,0.4847,Ia,-8.5
F,3,6750,0.5428,Ia,-8.4
F,4,6650,0.5667,Ia,-8.3
F,5,6550,0.591,Ia,-8.3
F,6,6400,0.628,Ia,-8.2
F,7,6250,0.666,Ia,-8.1
F,8,6170,0.6866,Ia,-8.1
F,9,6010,0.7286,Ia,-8
G,0,5900,0.7582,Ia,-8
G,1,5800,0.7855,Ia,-8
G,2,5750,0.7994,Ia,-8
G,3,5710,0.8106,Ia,-8
G,4,5690,0.8162,Ia,-8
G,5,5620,0.836,Ia,-8
G,6,5570,0.8503,Ia,-8
G,7,5500,0.8705,Ia,-8
G,8,5450,0.8851,Ia,-8
G,9,5350,0.9147,Ia,-8
K,0,5280,0.9358,Ia,-8
K,1,5110,0.9882,Ia,-8
K,2,4940,1.0423,Ia,-8
K,3,4700,1.122,Ia,-8
K,4,4550,1.1739,Ia,-8
K,5,4400,1.2275,Ia,-8
K,6,4265,1.2774,Ia,-8
K,7,4130,1.3288,Ia,-7.85
K,8,3995,1.382,Ia,-7.7
K,9,3860,1.437,Ia,-7.6
M,0,3760,1.479,Ia,-7.45
M,1,3625,1.5375,Ia,-7.3
M,2,3490,1.5982,Ia,-7.3
M,3,3355,1.6613,Ia,-7
M,4,3220,1.7271,Ia,
M,5,3085,1.7956,Ia,
M,6,2950,1.8672,Ia,
M,7,2815,1.9421,Ia,
M,8,2680,2.0208,Ia,
M,9,2545,2.1034,Ia,
